# One line per decompiled function. Tab separated; # starts a comment.
#
# image   the original this function lives in: rfl or exe
# va      its virtual address there
# size    the length of the function itself, excluding trailing padding
# source  the file under src/ that is meant to reproduce it
# expect  match  - it matched when last run, so a mismatch now is a regression
#         todo   - not reproduced yet, a match now is progress to record here
# symbol  the decorated name in the compiled object
#
# image	va	size	source	expect	symbol
rfl	0x10002230	25	math/vector3.cpp	match	??4Vector3@@QAEAAV0@ABV0@@Z
rfl	0x10002250	31	math/vector3.cpp	match	??ZVector3@@QAEXABV0@@Z
rfl	0x10002270	31	math/vector3.cpp	match	??XVector3@@QAEXM@Z
rfl	0x10002290	31	math/vector3.cpp	match	??YVector3@@QAEXABV0@@Z
rfl	0x100022b0	31	math/vector3.cpp	match	??G@YA?AVVector3@@ABV0@@Z
rfl	0x100022d0	35	math/vector3.cpp	match	??HVector3@@QBE?AV0@ABV0@@Z
rfl	0x10002300	35	math/vector3.cpp	match	??GVector3@@QBE?AV0@ABV0@@Z
rfl	0x10002330	75	math/vector3.cpp	match	?Normalized@Vector3@@QBE?AV1@XZ
rfl	0x10002380	27	math/vector3.cpp	match	?dot@Vector3@@QBEMABV1@@Z
rfl	0x100023a0	31	math/vector3.cpp	match	?LengthSquared@Vector3@@QBEMXZ
rfl	0x100044e0	33	math/vector3.cpp	match	??_0Vector3@@QAEXM@Z
rfl	0x10004510	35	math/vector3.cpp	match	??DVector3@@QBE?AV0@M@Z
rfl	0x10004540	33	math/matrix.cpp	match	?GetColumn@Matrix@@QBEXAAVVector3@@H@Z
rfl	0x10004570	33	math/matrix.cpp	match	?GetColumnFP@Matrix@@QBE?AVVector3@@H@Z
rfl	0x100045a0	33	math/matrix.cpp	match	?SetColumn@Matrix@@QAEXHABVVector3@@@Z
rfl	0x100045d0	82	math/matrix.cpp	todo	??DMatrix@@QBE?AVVector3@@ABV1@@Z
rfl	0x10072880	50	level/levellist.cpp	match	?IsBackupPath@@YAHPBD@Z
rfl	0x10072e90	134	level/levellist.cpp	todo	?Reserve@LevelList@@QAEXH@Z
exe	0x00402100	31	math/vector3.cpp	match	??ZVector3@@QAEXABV0@@Z
exe	0x00416320	31	math/vector3.cpp	match	??XVector3@@QAEXM@Z
exe	0x00416300	31	math/vector3.cpp	match	??YVector3@@QAEXABV0@@Z
exe	0x0041a730	31	math/vector3.cpp	match	??G@YA?AVVector3@@ABV0@@Z
exe	0x00402120	35	math/vector3.cpp	match	??HVector3@@QBE?AV0@ABV0@@Z
exe	0x00402150	35	math/vector3.cpp	match	??GVector3@@QBE?AV0@ABV0@@Z
exe	0x004011d0	27	math/vector3.cpp	match	?dot@Vector3@@QBEMABV1@@Z
